"Episode ID"	"Cycle"	"Day"	"Second"	"Microsecond"	"th1"	"w1"	"th2"	"w2"
0	116	0	4	640000	23.81438465215288	-270.5654504269415	8.945621444332602	11.766495264842531
0	117	0	4	680000	13.075189175617766	-280.09201531998895	9.624069977353514	21.27368999863287
0	118	0	4	720000	2.8402068482661775	-244.7669068823266	10.452820335565264	19.763884982125138
0	119	0	4	760000	-6.8089713531798	-250.05154866570194	11.08256596629056	11.403489326900377
0	120	0	4	800000	-16.633907673483094	-253.9283914799614	11.259768005664029	-3.2939915523525847
0	121	0	4	840000	-26.599800580652698	-257.42625050124377	10.754784626547803	-23.46448072109161
0	122	0	4	880000	-36.57195936522413	-254.5444729238655	9.37828489608296	-47.60172534514723
0	123	0	4	920000	-46.475577949084936	-253.75553225516185	7.000459825037723	-74.92903390069375
0	124	0	4	960000	-56.84804364301175	-277.735988212216	3.426360830803901	-110.52380777621524
0	125	0	5	0	-67.42743936839878	-264.91689609970814	-1.7073211653777491	-152.79122093384098
0	126	0	5	40000	-77.49060142841884	-250.76603883266492	-8.495478257835686	-195.34865654704822
0	127	0	5	80000	-87.57871976236761	-265.26909150369363	-17.018168066507542	-243.54642813291014
0	128	0	5	120000	-97.53046762809949	-243.46988802462093	-27.562196926005214	-297.1383801080867
0	129	0	5	160000	-106.38269524152369	-208.42964009699102	-40.18367900694338	-349.9340696073111
0	130	0	5	200000	-113.67467759865352	-163.11069431815827	-54.86143218557683	-403.179175027675
0	131	0	5	240000	-119.35682874944445	-125.7678077467576	-71.73005118854769	-464.02199158100115
0	132	0	5	280000	-123.42442018971701	-81.36406246816959	-91.25946961885293	-540.2087464080406
0	133	0	5	320000	-124.81178853759576	5.112673403999646	-113.89565963836353	-615.5924175071721
0	134	0	5	360000	-124.62058504127546	-14.183027138388315	-138.15961835065306	-609.2429378218496
0	135	0	5	400000	-126.53531214043203	-89.37854432922668	-160.45731781422546	-530.7390149224971
0	136	0	5	440000	-131.8032178579938	-179.05099250087375	-179.56683367416613	-450.01992909603695
0	137	0	5	480000	-140.27798394847068	-252.74279490075395	164.4471333976877	-368.7729934626978
0	138	0	5	520000	-151.6294520972575	-326.7383114694792	151.84052811577743	-274.4771462150911
0	139	0	5	560000	-165.35089153361002	-375.0432762135374	143.27074490870137	-162.5650106591872
